Place,Type,County,Per capita income,Median household income,Median family income,Population,Number of households
Woodbridge,Town,New Haven,"$58,594","$133,412","$160,313",8990.0,3084.0
Brooklyn,Town,Windham,"$25,124",N/A,"$76,224",8210.0,2989.0
Litchfield,Borough,Litchfield,"$40,635","$68,125","$81,875",1258.0,548.0
Groton,City,New London,"$28,872","$49,464","$52,366",10389.0,4182.0
Norfolk,Town,Litchfield,"$43,866","$85,526","$98,098",1709.0,720.0
Plainville,Town,Hartford,"$31,000","$63,447","$80,205",17716.0,7580.0
East Lyme,Town,New London,"$37,019","$79,815","$102,864",19159.0,7192.0
West Hartford,Town,Hartford,"$53,534","$98,530","$136,547",63268.0,25258.0
Naugatuck,Borough,New Haven,"$27,933","$59,393","$71,021",31862.0,12339.0
Bethel,Town,Fairfield,"$36,608","$83,483","$99,568",18584.0,6938.0
Durham,Town,Middlesex,"$38,341","$80,656","$97,211",39559.0,7152.0
  Voluntown ,Town,New London,"$32,760","$73,980","$76,197",2603.0,1002.0
Middlefield,Town,Middlesex,"$36,747","$80,392","$94,432",4425.0,1742.0
Canterbury,Town,Windham,"$30,453","$70,902","$84,093",5132.0,1934.0
United States,Country,,"$27,334","$51,914","$62,982",308745538.0,116716292.0
Fenwick,Borough,Middlesex,"$67,318","$148,650","$217,583",2406.0,1077.0
Thomaston,Town,Litchfield,"$31,652","$63,990","$77,842",7887.0,3108.0
Stratford,Town,Fairfield,"$32,590","$67,530","$83,369",51384.0,20095.0
Meriden,City,New Haven,"$27,625","$53,873","$65,450",60868.0,23977.0
Waterford,Town,New London,"$37,690","$69,810","$91,893",19517.0,8005.0
Killingly,Town,Windham,"$25,215","$53,192",,17370.0,6749.0
Ansonia,City,New Haven,"$26,225","$56,541","$71,329",19249.0,7510.0
Canaan,Town,Litchfield,"$37,283","$54,219","$77,500",1234.0,583.0
Cromwell,Town,Middlesex,"$41,926","$82,012","$99,362",14005.0,5752.0
Orange,Town,New Haven,"$44,983","$102,255","$115,685",13956.0,5123.0
Monroe,Town,Fairfield,"$43,842","$109,727","$119,357",19479.0,6735.0
Stonington,Town,New London,"$42,184","$72,445","$86,029",18545.0,8115.0
Simsbury,Town,Hartford,"$41,883","$99,764","$108,564",23511.0,8776.0
Thompson,Town,Windham,"$27,222","$60,951","$74,613",9458.0,3730.0
East Haddam,Town,Middlesex,"$37,156","$82,695","$86,023",9126.0,3593.0
Deep River,Town,Middlesex,"$35,564","$65,250","$81,641",4629.0,1940.0
Hampton,Town,Windham,"$34,642","$79,943","$84,079",1863.0,747.0
Plymouth,Town,Litchfield,"$30,081","$71,630","$82,438",12243.0,4803.0
Franklin,Town,New London,"$31,518","$74,226","$87,237",1922.0,729.0
